DateKey	FullDate	Year	Quarter	MonthNumber	MonthName	YearMonth	DayOfMonth	DayName	IsWeekend	FiscalYearSA	SeasonSouthernAfrica
20090522	2009-05-22	2009	2	5	May	2009-05	22	Friday	0	FY2009/10	Autumn
20090523	2009-05-23	2009	2	5	May	2009-05	23	Saturday	1	FY2009/10	Autumn
20090524	2009-05-24	2009	2	5	May	2009-05	24	Sunday	1	FY2009/10	Autumn
20090525	2009-05-25	2009	2	5	May	2009-05	25	Monday	0	FY2009/10	Autumn
20090526	2009-05-26	2009	2	5	May	2009-05	26	Tuesday	0	FY2009/10	Autumn
20090527	2009-05-27	2009	2	5	May	2009-05	27	Wednesday	0	FY2009/10	Autumn
20090528	2009-05-28	2009	2	5	May	2009-05	28	Thursday	0	FY2009/10	Autumn
20090529	2009-05-29	2009	2	5	May	2009-05	29	Friday	0	FY2009/10	Autumn
20090530	2009-05-30	2009	2	5	May	2009-05	30	Saturday	1	FY2009/10	Autumn
20090531	2009-05-31	2009	2	5	May	2009-05	31	Sunday	1	FY2009/10	Autumn
20090601	2009-06-01	2009	2	6	June	2009-06	1	Monday	0	FY2009/10	Winter
20090602	2009-06-02	2009	2	6	June	2009-06	2	Tuesday	0	FY2009/10	Winter
20090603	2009-06-03	2009	2	6	June	2009-06	3	Wednesday	0	FY2009/10	Winter
20090604	2009-06-04	2009	2	6	June	2009-06	4	Thursday	0	FY2009/10	Winter
20090605	2009-06-05	2009	2	6	June	2009-06	5	Friday	0	FY2009/10	Winter
20090606	2009-06-06	2009	2	6	June	2009-06	6	Saturday	1	FY2009/10	Winter
20090607	2009-06-07	2009	2	6	June	2009-06	7	Sunday	1	FY2009/10	Winter
20090608	2009-06-08	2009	2	6	June	2009-06	8	Monday	0	FY2009/10	Winter
20090609	2009-06-09	2009	2	6	June	2009-06	9	Tuesday	0	FY2009/10	Winter
20090610	2009-06-10	2009	2	6	June	2009-06	10	Wednesday	0	FY2009/10	Winter
20090611	2009-06-11	2009	2	6	June	2009-06	11	Thursday	0	FY2009/10	Winter
20090612	2009-06-12	2009	2	6	June	2009-06	12	Friday	0	FY2009/10	Winter
20090613	2009-06-13	2009	2	6	June	2009-06	13	Saturday	1	FY2009/10	Winter
20090614	2009-06-14	2009	2	6	June	2009-06	14	Sunday	1	FY2009/10	Winter
20090615	2009-06-15	2009	2	6	June	2009-06	15	Monday	0	FY2009/10	Winter
20090616	2009-06-16	2009	2	6	June	2009-06	16	Tuesday	0	FY2009/10	Winter
20090617	2009-06-17	2009	2	6	June	2009-06	17	Wednesday	0	FY2009/10	Winter
20090618	2009-06-18	2009	2	6	June	2009-06	18	Thursday	0	FY2009/10	Winter
20090619	2009-06-19	2009	2	6	June	2009-06	19	Friday	0	FY2009/10	Winter
20090620	2009-06-20	2009	2	6	June	2009-06	20	Saturday	1	FY2009/10	Winter
20090621	2009-06-21	2009	2	6	June	2009-06	21	Sunday	1	FY2009/10	Winter
20090622	2009-06-22	2009	2	6	June	2009-06	22	Monday	0	FY2009/10	Winter
20090623	2009-06-23	2009	2	6	June	2009-06	23	Tuesday	0	FY2009/10	Winter
20090624	2009-06-24	2009	2	6	June	2009-06	24	Wednesday	0	FY2009/10	Winter
20090625	2009-06-25	2009	2	6	June	2009-06	25	Thursday	0	FY2009/10	Winter
20090626	2009-06-26	2009	2	6	June	2009-06	26	Friday	0	FY2009/10	Winter
20090627	2009-06-27	2009	2	6	June	2009-06	27	Saturday	1	FY2009/10	Winter
20090628	2009-06-28	2009	2	6	June	2009-06	28	Sunday	1	FY2009/10	Winter
20090629	2009-06-29	2009	2	6	June	2009-06	29	Monday	0	FY2009/10	Winter
20090630	2009-06-30	2009	2	6	June	2009-06	30	Tuesday	0	FY2009/10	Winter
20090701	2009-07-01	2009	3	7	July	2009-07	1	Wednesday	0	FY2009/10	Winter
20090702	2009-07-02	2009	3	7	July	2009-07	2	Thursday	0	FY2009/10	Winter
20090703	2009-07-03	2009	3	7	July	2009-07	3	Friday	0	FY2009/10	Winter
20090704	2009-07-04	2009	3	7	July	2009-07	4	Saturday	1	FY2009/10	Winter
20090705	2009-07-05	2009	3	7	July	2009-07	5	Sunday	1	FY2009/10	Winter
20090706	2009-07-06	2009	3	7	July	2009-07	6	Monday	0	FY2009/10	Winter
20090707	2009-07-07	2009	3	7	July	2009-07	7	Tuesday	0	FY2009/10	Winter
20090708	2009-07-08	2009	3	7	July	2009-07	8	Wednesday	0	FY2009/10	Winter
20090709	2009-07-09	2009	3	7	July	2009-07	9	Thursday	0	FY2009/10	Winter
20090710	2009-07-10	2009	3	7	July	2009-07	10	Friday	0	FY2009/10	Winter
20090711	2009-07-11	2009	3	7	July	2009-07	11	Saturday	1	FY2009/10	Winter
20090712	2009-07-12	2009	3	7	July	2009-07	12	Sunday	1	FY2009/10	Winter
20090713	2009-07-13	2009	3	7	July	2009-07	13	Monday	0	FY2009/10	Winter
20090714	2009-07-14	2009	3	7	July	2009-07	14	Tuesday	0	FY2009/10	Winter
20090715	2009-07-15	2009	3	7	July	2009-07	15	Wednesday	0	FY2009/10	Winter
20090716	2009-07-16	2009	3	7	July	2009-07	16	Thursday	0	FY2009/10	Winter
20090717	2009-07-17	2009	3	7	July	2009-07	17	Friday	0	FY2009/10	Winter
20090718	2009-07-18	2009	3	7	July	2009-07	18	Saturday	1	FY2009/10	Winter
20090719	2009-07-19	2009	3	7	July	2009-07	19	Sunday	1	FY2009/10	Winter
20090720	2009-07-20	2009	3	7	July	2009-07	20	Monday	0	FY2009/10	Winter
20090721	2009-07-21	2009	3	7	July	2009-07	21	Tuesday	0	FY2009/10	Winter
20090722	2009-07-22	2009	3	7	July	2009-07	22	Wednesday	0	FY2009/10	Winter
20090723	2009-07-23	2009	3	7	July	2009-07	23	Thursday	0	FY2009/10	Winter
20090724	2009-07-24	2009	3	7	July	2009-07	24	Friday	0	FY2009/10	Winter
20090725	2009-07-25	2009	3	7	July	2009-07	25	Saturday	1	FY2009/10	Winter
20090726	2009-07-26	2009	3	7	July	2009-07	26	Sunday	1	FY2009/10	Winter
20090727	2009-07-27	2009	3	7	July	2009-07	27	Monday	0	FY2009/10	Winter
20090728	2009-07-28	2009	3	7	July	2009-07	28	Tuesday	0	FY2009/10	Winter
20090729	2009-07-29	2009	3	7	July	2009-07	29	Wednesday	0	FY2009/10	Winter
20090730	2009-07-30	2009	3	7	July	2009-07	30	Thursday	0	FY2009/10	Winter
20090731	2009-07-31	2009	3	7	July	2009-07	31	Friday	0	FY2009/10	Winter
20090801	2009-08-01	2009	3	8	August	2009-08	1	Saturday	1	FY2009/10	Winter
