YearMonth,Year,FiscalYearSA,LocationDescription,ProductName,EligibilityStatus,LitresIssued,TransactionCount
2019-10,2019,FY2019/20,CHP-006,DIESEL,Ineligible,19969.50,78
2019-10,2019,FY2019/20,CMND-001,DIESEL,Eligible - Mining,99106.00,225
2019-10,2019,FY2019/20,DB-269,DIESEL,Ineligible,31419.00,118
2019-10,2019,FY2019/20,DB-338,DIESEL,Ineligible,3982.00,17
2019-10,2019,FY2019/20,DB-MCCA-126,DIESEL,Eligible - Mining,387438.00,838
2019-10,2019,FY2019/20,Nitro+,DIESEL,Eligible - Mining,3100716.10,1534
2019-10,2019,FY2019/20,North Concentrator,DIESEL,Eligible - Mining,9189.00,70
2019-10,2019,FY2019/20,ST-264,DYNATRANS,Ineligible,0.06,1
2019-10,2019,FY2019/20,ST-264,ENGINE,Eligible - Mining,1.94,30
2019-10,2019,FY2019/20,Stores LDV,DIESEL,Eligible - Mining,11467.67,94
2019-10,2019,FY2019/20,Stores LDV,PETROL,Eligible - Mining,72.91,6
2019-10,2019,FY2019/20,BULK137,DIESEL,Eligible - Mining,3777.00,16
2019-10,2019,FY2019/20,BULK137,DIESEL,Ineligible,3137.00,7
2019-10,2019,FY2019/20,CMND-001,DIESEL,Ineligible,20219.50,62
2019-10,2019,FY2019/20,DB-270,DIESEL,Eligible - Mining,265744.00,503
2019-10,2019,FY2019/20,Nitro+,HYDRAULIC,Eligible - Mining,1230.00,46
2019-10,2019,FY2019/20,Nitro+,HYDRAULIC,Ineligible,38.00,1
2019-10,2019,FY2019/20,North Concentrator,DIESEL,Ineligible,11381.00,105
2019-10,2019,FY2019/20,ST-264,COOLANT,Eligible - Mining,3.44,60
2019-10,2019,FY2019/20,ST-264,COOLANT,Ineligible,0.20,3
2019-10,2019,FY2019/20,ST-264,TRANSMISSION,Ineligible,26.83,6
2019-10,2019,FY2019/20,Stores LDV,DIESEL,Ineligible,26903.24,342
2019-10,2019,FY2019/20,Ultra City,DIESEL,Eligible - Mining,1434660.40,591
2019-11,2019,FY2019/20,CHP-006,DIESEL,Eligible - Mining,102993.20,316
2019-11,2019,FY2019/20,CON-074,DIESEL,Eligible - Mining,181492.00,658
2019-11,2019,FY2019/20,DB-270,DIESEL,Ineligible,62242.00,102
2019-11,2019,FY2019/20,DB-MCCA-126,DIESEL,Eligible - Mining,415108.00,851
2019-11,2019,FY2019/20,DB-MCCA-126,DIESEL,Ineligible,72360.00,205
2019-11,2019,FY2019/20,Nitro+,ENGINE,Eligible - Mining,3628.00,127
2019-11,2019,FY2019/20,Nitro+,ENGINE,Ineligible,23.00,1
2019-11,2019,FY2019/20,Nitro+,TRANSMISSION,Eligible - Mining,3031.00,93
2019-11,2019,FY2019/20,ST-264,HYDRAULIC,Ineligible,0.26,4
2019-11,2019,FY2019/20,CHP-006,DIESEL,Ineligible,21874.80,71
2019-11,2019,FY2019/20,CMND-001,DIESEL,Eligible - Mining,6284.00,17
2019-11,2019,FY2019/20,DB-269,DIESEL,Ineligible,72967.00,238
2019-11,2019,FY2019/20,DB-338,DIESEL,Ineligible,503.20,6
2019-11,2019,FY2019/20,Nitro+,DIESEL,Eligible - Mining,2854617.80,1286
2019-11,2019,FY2019/20,North Concentrator,DIESEL,Eligible - Mining,8431.00,77
2019-11,2019,FY2019/20,ST-264,ENGINE,Eligible - Mining,3.02,49
2019-11,2019,FY2019/20,Stores LDV,DIESEL,Eligible - Mining,13279.41,96
2019-11,2019,FY2019/20,Stores LDV,DIESEL,Ineligible,25463.01,342
2019-11,2019,FY2019/20,Stores LDV,PETROL,Eligible - Mining,160.39,5
2019-11,2019,FY2019/20,BULK137,DIESEL,Eligible - Mining,47241.00,144
2019-11,2019,FY2019/20,CMND-001,DIESEL,Ineligible,1019.40,4
2019-11,2019,FY2019/20,DB-270,DIESEL,Eligible - Mining,384732.00,687
2019-11,2019,FY2019/20,Nitro+,HYDRAULIC,Eligible - Mining,956.00,27
2019-11,2019,FY2019/20,North Concentrator,DIESEL,Ineligible,6309.00,65
2019-11,2019,FY2019/20,ST-264,COOLANT,Eligible - Mining,3.19,52
2019-11,2019,FY2019/20,ST-264,COOLANT,Ineligible,0.31,6
2019-11,2019,FY2019/20,ST-264,DYNATRANS,Ineligible,0.17,2
2019-11,2019,FY2019/20,ST-264,TRANSMISSION,Ineligible,337.98,40
2019-11,2019,FY2019/20,Ultra City,DIESEL,Eligible - Mining,1592146.90,604
2019-11,2019,FY2019/20,BULK137,DIESEL,Ineligible,13229.00,36
2019-11,2019,FY2019/20,CON-074,DIESEL,Ineligible,19337.00,48
2019-11,2019,FY2019/20,DB-269,DIESEL,Eligible - Mining,301418.00,648
